cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
6891147000103;GALETOS COMERCIAL LTDA;792;LING TOSC SUINA AURORA 5 X 5 KG CX 25KG;;;
6891147000103;GALETOS COMERCIAL LTDA;405;LING CALABRESA REZENDE TRAD 6 X 2,50KG CX 15KG;;;
6891147000103;GALETOS COMERCIAL LTDA;403;SUI - COPA LOMBO SOBREPALETA SADIA CX 15KG;1210;SUI - COPA LOMBO SOBREPALETA SADIA;1210
6891147000103;GALETOS COMERCIAL LTDA;2814;FGO - PEITO BONASA IND CX 18KG;;;
7158926000159;KRAUTOP VEICULOS E PECAS LTDA;52129295;RADIADOR (AUT.) - SPIN/COB/ONIX/PRIS;;;
7228042000476;ABC DISTRIBUIDORA S/A - FORTALEZA;14557;KIT PAPEL SUB PREMIUM 064 1,10X150 2";;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60008;***GARRAFA TERMICA GT COLORS 750ML RSA CL 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63135;***GARRAFA TERMICA GT COLORS 750ML RSA ES 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60047;***GARRAFA TERMICA GT COLORS 750ML AZ ES 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63127;***GARRAFA TERMICA GT COLORS 750ML LILAS 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63126;***GARRAFA TERMICA GT COLORS 750ML VD CL 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60303;***GARRAFA TERMICA GT COLORS 500ML LILAS 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60044;***GARRAFA TERMICA GT COLORS 750ML PRETO 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60049;***GARRAFA TERMICA GT COLORS 500ML RSA ES 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60304;***GARRAFA TERMICA GT COLORS 500ML VD CL 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60050;***GARRAFA TERMICA GT COLORS 500ML AZ ES 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63540;***GARRAFA TERMICA GT COLORS 350ML AZ ES 3;;;
7272825000295;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63536;***GARRAFA TERMICA GT COLORS 350ML PRETO 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63537;***GARRAFA TERMICA GT COLORS 350ML RSA CL 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;63540;***GARRAFA TERMICA GT COLORS 350ML AZ ES 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60304;***GARRAFA TERMICA GT COLORS 500ML VD CL 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60050;***GARRAFA TERMICA GT COLORS 500ML AZ ES 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60005;***GARRAFA TERMICA GT COLORS 500ML CINZA 3;;;
7272825000457;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA;60303;***GARRAFA TERMICA GT COLORS 500ML LILAS 3;;;
