key;cEAN;cProd;xProd;maxPrice
4549292054729;4549292054729;437328;Garrafa de Tinta Canon GI 190BK Preta 6.000 Paginas para G1100 G1110 G2100 G2110 G3100 G3102 G3110 G3111 G4100 G4110;66.2
10343988569;10343988569;607185;Garrafa de Tinta Epson T544422 BR Amarela 7.500 Paginas para EcoTank L3150 L3250 L3160 L3260 L3560 L5190 L5290 L5590;47.51
10343885295;10343885295;264717;Garrafa de Tinta Epson T664120 AL Preta 4.000 Paginas para EcoTank L365 L455 L375 L120 L495 L380 L575 L565 L110 L475;45.81
7897013536083;7897013536083;246409;Pilha Recarregavel AA Pequena 2500mah 2 Unidades;25.6
7897013536090;7897013536090;365343;Pilha Recarregavel AA Pequena 2500mah 4 Unidades;50.26
7897013517396;7897013517396;82775;Calculadora de Mesa Elgin 12 Digitos MV4122;27.68
7897013532276;7897013532276;186821;Calculadora de Mesa Elgin 12 Digitos MV4124;22.87
7897013533761;7897013533761;186856;Calculadora de Mesa Elgin 12 Digitos MV4130;37.97
4549526617287;4549526617287;589136;Calculadora de Mesa Casio 12 Digitos MX 12B Preta;38.65
207;;207;TINTA DIAMOND D10 NUBIS MAGENTA 1L (BAG) - NUTEC;556.82
190;;190;TINTA DIAMOND D10 NUBIS BLACK 1L (BAG) - NUTEC;556.82
189;;189;TINTA DIAMOND D10 NUBIS CYAN 1L (BAG) - NUTEC;556.82
188;;188;TINTA DIAMOND D10 NUBIS YELLOW 1L (BAG) - NUTEC;556.82
4019238752540;4019238752540;MR007224;PNEU 225/75R16C CONTINENTAL VANCONTACT AP 118/116R OE;1111.9
4024063003699;4024063003699;MR051308;PNEU 205/60R16 BARUM BRAVURIS 4X4 92H FR;470
7899021344438;7899021344438;916;BORRACHA EVA IBEL 40X95 ABER C/10 AZUL;33.68
7899021344377;7899021344377;914;BORRACHA EVA IBEL 40X95 ABER C/10 BRANCO;33.68
7899021344674;7899021344674;27597;BORRACHA EVA IBEL 40X95 ABER C/10 BEGE;33.68
7899021344490;7899021344490;27583;BORRACHA EVA IBEL 40X95 ABER C/10 VD BAN;33.68
7896740110573;7896740110573;27548;ENV SCRITY OF 114X229 S/RPC 63G 100U 320;13.1
7899021344544;7899021344544;27589;BORRACHA EVA IBEL 40X95 ABER C/10 LARANJ;33.68
7908077460044;7908077460044;58593;CAD FORONI 80F BROCHURAO CD STITCH;18.47
7908077459987;7908077459987;58596;CAD FORONI 1.1 80F CD UNIV STITCH;23.58
4902505343650;4902505343650;11986;PONTA PILOT P/MARCADOR WBTIP-VBM-M C/3;6.1
30431;;30431;TINTA REABAST.RADEX 40ML MAR PERMANEN AZ;4.14
7897254101781;7897254101781;30430;TINTA REABAST.RADEX 40ML MAR PERMANEN PT;4.14
7897834414850;7897834414850;46280;FITA LISA 30MM X 30M VERMELHO CHAPADO;8.272
7897834414669;7897834414669;790969;FITA LISA 20MMX30M VERMELHO CHAPADO FIDEPLA;5.19
7898738761286;7898738761286;29958;PAPEL SEDA RIDET C/100F LARANJA;21.34
7898432535565;7898432535565;29954;PAPEL SEDA RIDET C/100F BRANCO;16.26
7898432535626;7898432535626;29960;PAPEL SEDA RIDET C/100F V BANDEIRA;21.38
7898738761293;7898738761293;29957;PAPEL SEDA RIDET C/100F VERMELHO;21.38
7897027203629;7897027203629;11363;CAPA P/ENCAD ACP A4 PCT/100 CR 1336/1311;48.08
7897832831161;7897832831161;32212;PASTA EM L DELLOPLAST A4 CR 270H;0.93
7897027202691;7897027202691;1268;PORTA CNPJ VERTICAL OFICIO 24 X 31CM;4.929286
7908077460068;7908077460068;58594;CAD FORONI 80F DESENHO CD STITCH;19.02
39076;;39076;PAPEL 40KG F ANTONIO C/50F BRANCO;7.7
46213;;46213;PAPEL CON-TACT PLAVITEC 45X25M CR 80MC;3.2
7891040128617;7891040128617;17651;FITA 3M SCOTCH 3777 36X50;33.05
7896193243880;7896193243880;30864;FITA CREPE ADERE 24X50 REF 423;5.08
7891040134533;7891040134533;515;FITA EMP.PAPEL LISO 3M - 32 X 50 SCOTCH;31.196
43569;;43569;TINTA REABAST.RADEX 40ML MAR PERMANEN VM;4.14
7898119129568;7898119129568;18321;ESTILETE MASTERPRINT LARGO MP451 CX;1.65
39489;;39489;ESTILETE JOCAR BLISTER COL ESTREIT 91410;1.43
7503002900246;7503002900246;17269;ESTILETE JOCAR COLOR LARGO BLIST 91411;2.49
7897476614663;7897476614663;52932;ESTILETE BAZZE ESTREITO BL B4001;1
7897690110866;7897690110866;49659;ETIQUETA COLACRIL TP19 C/210 AM F 6001AF;3.76
7897690110316;7897690110316;49663;ETIQUETA COLACRIL TP19 C/210 OU 6001OU;2.9
7899320381707;7899320381707;53988;FITA DUREX 12X30 EURO CRISTAL PP2000;1.05
7908229105281;7908229105281;54030;PLASTICO POLASEAL MASTER 125 A4 100FL;68.58
7896342910366;7896342910366;54213;ELASTICO MERCUR N18 50PC 7006;5.11
7896303600558;7896303600558;2859;GRAMPO ACC 26/6 C/1000U ACO COBR EXTRA;2.33
70330533073;70330533073;41857;CANETA BIC CRIST CELEBRAT SILVER 970908;4.04
7898936754554;7898936754554;EX0001;EXTRATOR PARA GRAMPOS - CX C/12UN;17.9
7897393538615;7897393538615;4652;TABUADA BAHIA E UM AMOR GR 538615;0.68
7894494770517;7894494770517;58584;CAD JANDAIA 1/4 96F CD ESP MASC 01 75051;4.69
7894494735851;7894494735851;53003;CAD JANDAIA 1/4 96F CD ESP FEM 01;4.69
7898572600116;7898572600116;29840;CADERNETA CADERNUS ANOTACOES 1/8 48F 116;1.02
7896303600640;7896303600640;1584;GRAMPO PISTOLA ROCAMA 106/6 CX 5.000 UN;18.4712
